doctor_id,doctor_name,specialty,branch
D0474,Dr. Grace Garba,general medicine,Lagos Central
D0475,Dr. Hannah Ojo,,
D0476,Dr. Musa Bello,orthopedics,Ibadan West
D0477,Dr. Kemi Nwosu,Family Medicine,Port Harcourt Main
D0478,Dr. Kemi Eze,,ABUJA NORTH
D0479,Dr. Amaka Ojo,Emergency Medicine,
D0480,Dr. Emeka Nwosu,Obstetrics,Lagos Central
D0481,Dr. Blessing Usman,Cardiology,Lagos Central
D0482,Dr. Zainab Adewale,,Port Harcourt Main
D0483,Dr. Emeka Balogun,Orthopedics,
D0484,Dr. Daniel Onyeka,Radiology,ABUJA NORTH
D0485,Dr. Daniel Uche,cardiology,
D0486,Dr. Ngozi Balogun,pediatrics,Lagos Central
D0487,Dr. Sarah Musa,General Medicine,Kano Care
D0488,Dr. John Chukwu,cardiology,Kano Care
D0489,Dr. Mercy Onyeka,dermatology,Lagos Central
D0490,Dr. Aisha Usman,Obstetrics,Port Harcourt Main
D0491,Dr. Yusuf Nwosu,orthopedics,
D0492,Dr. David Afolabi,cardiology,
D0493,Dr. Peter Musa,Family Medicine,Ibadan West
D0494,Dr. Tunde Afolabi,Radiology,Port Harcourt Main
D0495,Dr. Kemi Okafor,Obstetrics,
D0496,Dr. Bola Uche,,PORT HARCOURT MAIN
D0497,Dr. Samuel Nwosu,orthopedics,PORT HARCOURT MAIN
D0498,Dr. Sarah Onyeka,Obstetrics,LAGOS CENTRAL
D0499,Dr. Aisha Ojo,Emergency Medicine,
D0500,Dr. Zainab Nwosu,Family Medicine,
D0501,Dr. Bola Onyeka,cardiology,ABUJA NORTH
D0502,Dr. Ada Garba,Neurology,ABUJA NORTH
D0503,Dr. Ada Ogunleye,,Kano Care
D0504,Dr. Abdul Johnson,Dermatology,PORT HARCOURT MAIN
D0505,Dr. Fatima Johnson,Emergency Medicine,Lagos Central
D0506,Dr. Grace Ogunleye,Radiology,LAGOS CENTRAL
D0507,Dr. Ngozi Johnson,Dermatology,ABUJA NORTH
D0508,Dr. Zainab Nwosu,Emergency Medicine,Lagos Central
D0509,Dr. Samuel Afolabi,cardiology,Abuja North
D0510,Dr. Aisha Eze,Obstetrics,PORT HARCOURT MAIN
D0511,Dr. Aisha Musa,cardiology,Lagos Central
D0512,Dr. David Johnson,Neurology,Lagos Central
D0513,Dr. Amaka Balogun,general medicine,
D0514,Dr. Kemi Eze,,Port Harcourt Main
D0515,Dr. Daniel Usman,Emergency Medicine,Port Harcourt Main
D0516,Dr. Chinedu Sani,Emergency Medicine,Ibadan West
D0517,Dr. Hannah Abubakar,orthopedics,Ibadan West
D0518,Dr. Ada Johnson,,Ibadan West
D0519,Dr. Victor Usman,Neurology,Abuja North
D0520,Dr. Yusuf Onyeka,General Medicine,Port Harcourt Main
D0521,Dr. Emeka Adewale,Neurology,Abuja North
D0522,Dr. Samuel Ogunleye,Emergency Medicine,PORT HARCOURT MAIN
D0523,Dr. Emeka Uche,pediatrics,Enugu East
D0524,Dr. Chinedu Ojo,cardiology,ABUJA NORTH
D0525,Dr. Fatima Musa,cardiology,Port Harcourt Main
D0526,Dr. John Adeyemi,Radiology,Abuja North
D0527,Dr. Tolu Chukwu,cardiology,Lagos Central
D0528,Dr. Amaka Sani,Obstetrics,ABUJA NORTH
D0529,Dr. Daniel Abubakar,Orthopedics,
D0530,Dr. Amaka Ogunleye,Emergency Medicine,Abuja North
D0531,Dr. Ada Balogun,Cardiology,Port Harcourt Main
D0532,Dr. Abdul Chukwu,cardiology,
D0533,Dr. Esther Adewale,dermatology,PORT HARCOURT MAIN
,Dr. Bola Adewale,Cardiology,ABUJA NORTH
D0535,Dr. David Eze,,Abuja North
D0536,Dr. Ngozi Eze,Dermatology,PORT HARCOURT MAIN
D0537,Dr. Sarah Nwosu,Obstetrics,
D0538,Dr. Esther Ibrahim,Cardiology,Port Harcourt Main
D0539,Dr. Fatima Ogunleye,general medicine,
D0540,Dr. Hannah Sani,orthopedics,Enugu East
D0541,Dr. Tunde Chukwu,General Medicine,Ibadan West
D0542,Dr. Grace Ogunleye,,PORT HARCOURT MAIN
D0543,Dr. Mary Usman,Family Medicine,Abuja North
D0544,Dr. Daniel Ibrahim,Emergency Medicine,Abuja North
D0545,Dr. Fatima Adewale,,
D0546,Dr. Tolu Usman,cardiology,PORT HARCOURT MAIN
D0547,Dr. Bola Ojo,general medicine,Lagos Central
D0548,Dr. Sarah Ibrahim,Dermatology,Kano Care
D0549,Dr. Ibrahim Okafor,orthopedics,Port Harcourt Main
D0550,Dr. Peter Abubakar,Family Medicine,
D0551,Dr. Emeka Johnson,,LAGOS CENTRAL
D0552,Dr. Ibrahim Musa,Dermatology,Kano Care
D0553,Dr. Michael Johnson,Obstetrics,
D0554,Dr. Tolu Nwosu,general medicine,Lagos Central
D0555,Dr. Abdul Nwosu,Orthopedics,Abuja North
D0556,Dr. Amaka Afolabi,Radiology,Kano Care
D0557,Dr. Victor Ogunleye,Family Medicine,Abuja North
D0558,Dr. Zainab Afolabi,Cardiology,ABUJA NORTH
D0559,Dr. Tolu Adeyemi,dermatology,
D0560,Dr. Musa Onyeka,orthopedics,Kano Care
D0561,Dr. Victor Bello,Pediatrics,Lagos Central
D0562,Dr. Emeka Usman,Orthopedics,LAGOS CENTRAL
D0563,Dr. Blessing Bello,Obstetrics,
D0564,Dr. Sarah Chukwu,general medicine,Ibadan West
D0565,Dr. Daniel Ojo,Neurology,Kano Care
D0566,Dr. Sarah Ogunleye,Dermatology,LAGOS CENTRAL
D0567,Dr. Ada Nwosu,,Port Harcourt Main
D0568,Dr. Hannah Nwosu,orthopedics,PORT HARCOURT MAIN
D0569,Dr. John Nwosu,Family Medicine,Lagos Central
D0570,Dr. Amaka Uche,cardiology,Abuja North
D0571,Dr. Mercy Garba,cardiology,LAGOS CENTRAL
D0572,Dr. Mercy Uche,dermatology,
D0573,Dr. David Okafor,Obstetrics,
D0574,Dr. Ada Eze,Radiology,Enugu East
D0575,Dr. Michael Ojo,cardiology,LAGOS CENTRAL
D0576,Dr. Peter Ojo,Pediatrics,Port Harcourt Main
,Dr. Ngozi Abubakar,general medicine,ABUJA NORTH
D0578,Dr. Abdul Garba,cardiology,
D0579,Dr. Tunde Onyeka,Family Medicine,Port Harcourt Main
D0580,Dr. Ibrahim Afolabi,General Medicine,
D0581,Dr. Tolu Adewale,general medicine,ABUJA NORTH
D0582,Dr. Mercy Adeyemi,Cardiology,Ibadan West
D0583,Dr. John Ogunleye,Emergency Medicine,Abuja North
D0584,Dr. Yusuf Abubakar,pediatrics,Enugu East
D0585,Dr. Esther Ogunleye,,Enugu East
D0586,Dr. Zainab Adeyemi,orthopedics,ABUJA NORTH
D0587,Dr. Yusuf Adewale,Cardiology,LAGOS CENTRAL
D0588,Dr. Mary Adewale,pediatrics,Abuja North
D0589,Dr. Yusuf Nwosu,Obstetrics,ABUJA NORTH
D0590,Dr. Mary Okafor,Pediatrics,
D0591,Dr. Amaka Balogun,Family Medicine,Ibadan West
D0592,Dr. Emeka Adeyemi,pediatrics,Ibadan West
D0593,Dr. Musa Chukwu,Pediatrics,Enugu East
D0594,Dr. Peter Ojo,Family Medicine,Lagos Central
D0595,Dr. Ada Ibrahim,cardiology,PORT HARCOURT MAIN
D0596,Dr. Zainab Usman,Orthopedics,Kano Care
D0597,Dr. Michael Adeyemi,Family Medicine,Abuja North
D0598,Dr. Samuel Eze,cardiology,Ibadan West
D0599,Dr. Esther Bello,,PORT HARCOURT MAIN
D0600,Dr. Amaka Eze,Emergency Medicine,
D0601,Dr. Sarah Eze,Neurology,Port Harcourt Main
D0602,Dr. Chinedu Abubakar,,Port Harcourt Main
D0603,Dr. Tunde Ibrahim,General Medicine,Lagos Central
D0604,Dr. Daniel Musa,Orthopedics,
D0605,Dr. Bola Adewale,Emergency Medicine,PORT HARCOURT MAIN
D0606,Dr. Samuel Onyeka,,Abuja North
D0607,Dr. Kemi Nwosu,orthopedics,
D0608,Dr. Bola Afolabi,Family Medicine,Enugu East
D0609,Dr. Zainab Adeyemi,Obstetrics,
D0610,Dr. Aisha Musa,Family Medicine,Enugu East
D0611,Dr. Daniel Afolabi,orthopedics,LAGOS CENTRAL
D0612,Dr. Hannah Onyeka,dermatology,LAGOS CENTRAL
D0613,Dr. Emeka Nwosu,pediatrics,Lagos Central
D0614,Dr. Tolu Onyeka,,
D0615,Dr. Ada Ibrahim,Orthopedics,
D0616,Dr. Zainab Balogun,general medicine,Port Harcourt Main
D0617,Dr. Aisha Ojo,Family Medicine,
D0618,Dr. Victor Adeyemi,,Port Harcourt Main
D0619,Dr. Sarah Adeyemi,Orthopedics,ABUJA NORTH
D0620,Dr. Kemi Balogun,Orthopedics,Port Harcourt Main
D0621,Dr. John Usman,cardiology,Lagos Central
D0622,Dr. Zainab Sani,orthopedics,
D0623,Dr. Fatima Garba,Emergency Medicine,Lagos Central
D0624,Dr. Mary Afolabi,Orthopedics,Kano Care
D0625,Dr. Zainab Usman,Cardiology,Ibadan West
D0626,Dr. Grace Bello,Cardiology,Ibadan West
D0627,Dr. Aisha Adeyemi,Obstetrics,Ibadan West
D0628,Dr. Yusuf Adewale,Dermatology,Abuja North
D0629,Dr. Mercy Garba,General Medicine,LAGOS CENTRAL
D0630,Dr. Kemi Nwosu,general medicine,Enugu East
D0631,Dr. Musa Ojo,Orthopedics,Kano Care
D0632,Dr. Kemi Johnson,Dermatology,Enugu East
D0633,Dr. Aisha Nwosu,orthopedics,Kano Care
D0634,Dr. Kemi Chukwu,,Ibadan West
D0635,Dr. Ibrahim Bello,Radiology,
D0636,Dr. Musa Chukwu,Pediatrics,
D0637,Dr. Fatima Ibrahim,pediatrics,LAGOS CENTRAL
D0638,Dr. Hannah Sani,Obstetrics,
D0639,Dr. Chinedu Adeyemi,cardiology,PORT HARCOURT MAIN
D0640,Dr. Zainab Nwosu,Orthopedics,Enugu East
D0641,Dr. Abdul Afolabi,Dermatology,
D0642,Dr. Victor Uche,dermatology,Port Harcourt Main
D0643,Dr. Samuel Usman,Family Medicine,
D0644,Dr. Amaka Usman,Neurology,
D0645,Dr. Chinedu Afolabi,Family Medicine,Port Harcourt Main
D0646,Dr. Zainab Garba,Dermatology,ABUJA NORTH
D0647,Dr. Sarah Chukwu,,
D0648,Dr. Ada Sani,Cardiology,Abuja North
D0649,Dr. Yusuf Adewale,,Abuja North
D0650,Dr. Victor Okafor,general medicine,
D0651,Dr. Ngozi Johnson,Radiology,PORT HARCOURT MAIN
D0652,Dr. Abdul Chukwu,Orthopedics,Abuja North
D0653,Dr. Michael Onyeka,Cardiology,
D0654,Dr. Samuel Onyeka,pediatrics,Port Harcourt Main
D0655,Dr. Yusuf Balogun,Emergency Medicine,LAGOS CENTRAL
D0656,Dr. Bola Eze,Dermatology,LAGOS CENTRAL
D0657,Dr. Ibrahim Usman,Obstetrics,
D0658,Dr. Chinedu Onyeka,Orthopedics,Kano Care
D0659,Dr. Chinedu Johnson,general medicine,Ibadan West
D0660,Dr. Abdul Adeyemi,Emergency Medicine,Lagos Central
D0661,Dr. Fatima Okafor,general medicine,Enugu East
D0662,Dr. Ngozi Sani,Family Medicine,Abuja North
D0663,Dr. Abdul Nwosu,Cardiology,Port Harcourt Main
D0664,Dr. Peter Balogun,Radiology,Enugu East
D0665,Dr. Mary Ojo,General Medicine,
D0666,Dr. Chinedu Abubakar,,Lagos Central
D0667,Dr. Ngozi Uche,orthopedics,Lagos Central
D0668,Dr. David Nwosu,Family Medicine,Ibadan West
D0669,Dr. Aisha Adewale,General Medicine,ABUJA NORTH
D0670,Dr. Amaka Musa,Neurology,Ibadan West
D0671,Dr. Abdul Ibrahim,Obstetrics,Port Harcourt Main
D0672,Dr. Michael Ojo,Obstetrics,ABUJA NORTH
D0673,Dr. Zainab Onyeka,orthopedics,LAGOS CENTRAL
D0674,Dr. Aisha Chukwu,cardiology,ABUJA NORTH
D0675,Dr. Fatima Ibrahim,Dermatology,Kano Care
D0676,Dr. Daniel Musa,pediatrics,LAGOS CENTRAL
D0677,Dr. Zainab Musa,Obstetrics,
D0678,Dr. Chinedu Uche,Orthopedics,
D0679,Dr. Samuel Eze,Cardiology,Port Harcourt Main
D0680,Dr. Aisha Onyeka,Dermatology,Ibadan West
D0681,Dr. Peter Nwosu,Obstetrics,
D0682,Dr. Fatima Uche,Neurology,ABUJA NORTH
D0683,Dr. Victor Adeyemi,general medicine,PORT HARCOURT MAIN
D0684,Dr. Grace Balogun,,Ibadan West
D0685,Dr. Chinedu Uche,Orthopedics,
D0686,Dr. Ngozi Sani,Obstetrics,ABUJA NORTH
D0687,Dr. Hannah Musa,Dermatology,Port Harcourt Main
D0688,Dr. Daniel Onyeka,cardiology,Enugu East
D0689,Dr. Daniel Bello,Neurology,Abuja North
D0690,Dr. Mercy Bello,Neurology,Port Harcourt Main
D0691,Dr. Mary Afolabi,general medicine,
,Dr. Aisha Okafor,Emergency Medicine,Kano Care
D0693,Dr. Chinedu Afolabi,Radiology,LAGOS CENTRAL
D0694,Dr. Samuel Balogun,Neurology,
D0695,Dr. Mercy Usman,Emergency Medicine,Port Harcourt Main
D0696,Dr. Grace Adewale,orthopedics,
D0697,Dr. David Eze,orthopedics,LAGOS CENTRAL
D0698,Dr. Bola Garba,Neurology,ABUJA NORTH
D0699,Dr. Musa Okafor,,ABUJA NORTH
D0700,Dr. Hannah Adeyemi,,Abuja North
D0701,Dr. Mary Sani,Radiology,PORT HARCOURT MAIN
D0702,Dr. Michael Onyeka,General Medicine,Lagos Central
D0703,Dr. Sarah Okafor,dermatology,Ibadan West
D0704,Dr. Esther Johnson,dermatology,
D0705,Dr. Amaka Chukwu,Family Medicine,LAGOS CENTRAL
D0706,Dr. Kemi Adeyemi,,Port Harcourt Main
D0707,Dr. Tolu Balogun,General Medicine,Ibadan West
D0708,Dr. Blessing Nwosu,Radiology,Ibadan West
D0709,Dr. Grace Balogun,cardiology,
D0710,Dr. Mercy Usman,,Kano Care
D0711,Dr. Yusuf Bello,dermatology,Ibadan West
D0712,Dr. Ibrahim Musa,,Ibadan West
D0713,Dr. Ibrahim Bello,,Enugu East
D0714,Dr. Tunde Ojo,pediatrics,Enugu East
D0715,Dr. Bola Uche,dermatology,Enugu East
D0716,Dr. Mercy Usman,Obstetrics,Ibadan West
D0717,Dr. Daniel Ibrahim,pediatrics,Kano Care
D0718,Dr. Musa Nwosu,Pediatrics,Lagos Central
D0719,Dr. Sarah Eze,Orthopedics,Enugu East
D0720,Dr. Aisha Nwosu,,
D0721,Dr. Esther Onyeka,Radiology,ABUJA NORTH
D0722,Dr. Esther Johnson,pediatrics,LAGOS CENTRAL
D0723,Dr. Mary Nwosu,Orthopedics,LAGOS CENTRAL
D0724,Dr. Blessing Ogunleye,,Lagos Central
D0725,Dr. Tolu Bello,,Port Harcourt Main
D0726,Dr. Grace Uche,Dermatology,Lagos Central
D0727,Dr. Victor Ogunleye,Orthopedics,Kano Care
D0728,Dr. Peter Ogunleye,Neurology,
D0729,Dr. Esther Onyeka,Family Medicine,
D0730,Dr. Emeka Johnson,General Medicine,ABUJA NORTH
D0731,Dr. Mercy Usman,general medicine,Ibadan West
D0732,Dr. Victor Okafor,orthopedics,PORT HARCOURT MAIN
D0733,Dr. Hannah Ogunleye,Family Medicine,ABUJA NORTH
D0734,Dr. Emeka Chukwu,General Medicine,Lagos Central
D0735,Dr. Daniel Garba,Family Medicine,LAGOS CENTRAL
D0736,Dr. Zainab Afolabi,Family Medicine,PORT HARCOURT MAIN
D0737,Dr. Fatima Usman,General Medicine,
D0738,Dr. Sarah Balogun,dermatology,PORT HARCOURT MAIN
D0739,Dr. Grace Onyeka,General Medicine,PORT HARCOURT MAIN
D0740,Dr. Ibrahim Ibrahim,general medicine,
D0741,Dr. Zainab Eze,Neurology,LAGOS CENTRAL
D0742,Dr. Emeka Uche,Orthopedics,Ibadan West
D0743,Dr. Mercy Johnson,Neurology,ABUJA NORTH
D0744,Dr. Fatima Balogun,dermatology,PORT HARCOURT MAIN
D0745,Dr. Yusuf Sani,,Lagos Central
D0746,Dr. Ada Nwosu,Radiology,
D0747,Dr. Abdul Abubakar,Emergency Medicine,LAGOS CENTRAL
D0748,Dr. Zainab Afolabi,cardiology,Abuja North
D0749,Dr. Hannah Balogun,pediatrics,Abuja North
D0750,Dr. Tolu Okafor,,LAGOS CENTRAL
D0751,Dr. Grace Garba,pediatrics,PORT HARCOURT MAIN
D0752,Dr. Bola Garba,Neurology,Kano Care
D0753,Dr. Samuel Sani,Emergency Medicine,Lagos Central
D0754,Dr. Michael Abubakar,cardiology,Abuja North
D0755,Dr. Musa Usman,general medicine,LAGOS CENTRAL
D0756,Dr. Mercy Bello,Family Medicine,Kano Care
D0757,Dr. Mary Adeyemi,Obstetrics,
D0758,Dr. Fatima Musa,General Medicine,Abuja North
D0759,Dr. Emeka Uche,Emergency Medicine,ABUJA NORTH
D0760,Dr. Zainab Uche,Orthopedics,
D0761,Dr. Yusuf Ogunleye,,
D0762,Dr. Mercy Abubakar,General Medicine,Abuja North
D0763,Dr. Michael Eze,General Medicine,Abuja North
D0764,Dr. Emeka Ogunleye,cardiology,Port Harcourt Main
D0765,Dr. John Adewale,Obstetrics,
D0766,Dr. Tunde Onyeka,Pediatrics,Ibadan West
D0767,Dr. Fatima Afolabi,Radiology,
D0768,Dr. Aisha Balogun,Neurology,Abuja North
D0769,Dr. Grace Ojo,Obstetrics,Abuja North
D0770,Dr. Tolu Sani,,Port Harcourt Main
D0771,Dr. Mary Musa,cardiology,
D0772,Dr. John Abubakar,orthopedics,ABUJA NORTH
D0773,Dr. Esther Ibrahim,General Medicine,Lagos Central
D0774,Dr. Bola Adewale,Pediatrics,ABUJA NORTH
D0775,Dr. Emeka Ibrahim,Radiology,Port Harcourt Main
D0776,Dr. Blessing Balogun,Emergency Medicine,Ibadan West
D0777,Dr. Mercy Garba,,Abuja North
D0778,Dr. Kemi Bello,,Kano Care
D0779,Dr. Zainab Sani,orthopedics,
D0780,Dr. Mary Adeyemi,Orthopedics,ABUJA NORTH
D0781,Dr. David Adeyemi,Cardiology,Kano Care
D0782,Dr. Mary Okafor,,Lagos Central
D0783,Dr. Ngozi Adeyemi,Radiology,Kano Care
D0784,Dr. Esther Uche,Neurology,Ibadan West
D0785,Dr. Grace Musa,General Medicine,Lagos Central
D0786,Dr. Kemi Sani,Radiology,Port Harcourt Main
D0787,Dr. Samuel Bello,Orthopedics,
D0788,Dr. Ada Onyeka,orthopedics,LAGOS CENTRAL
D0789,Dr. Grace Onyeka,Cardiology,Port Harcourt Main
D0790,Dr. Aisha Abubakar,dermatology,ABUJA NORTH
D0791,Dr. Sarah Onyeka,Neurology,PORT HARCOURT MAIN
D0792,Dr. Peter Ogunleye,pediatrics,ABUJA NORTH
D0793,Dr. Abdul Adewale,Pediatrics,LAGOS CENTRAL
D0794,Dr. Daniel Garba,dermatology,ABUJA NORTH
D0795,Dr. Mercy Adeyemi,Orthopedics,
D0796,Dr. John Eze,general medicine,Ibadan West
D0797,Dr. Musa Afolabi,Neurology,LAGOS CENTRAL
D0798,Dr. Daniel Abubakar,Neurology,Port Harcourt Main
D0799,Dr. Mary Sani,Pediatrics,ABUJA NORTH
D0800,Dr. Abdul Ibrahim,General Medicine,Kano Care
D0801,Dr. Abdul Adewale,Radiology,Abuja North
D0802,Dr. Victor Garba,Pediatrics,Lagos Central
D0803,Dr. Abdul Ibrahim,general medicine,Enugu East
D0804,Dr. John Garba,general medicine,Port Harcourt Main
D0805,Dr. Tolu Balogun,,ABUJA NORTH
D0806,Dr. Mary Abubakar,,Kano Care
D0807,Dr. Zainab Chukwu,Cardiology,Lagos Central
D0808,Dr. Tolu Abubakar,orthopedics,LAGOS CENTRAL
D0809,Dr. Samuel Balogun,general medicine,PORT HARCOURT MAIN
D0810,Dr. Fatima Ibrahim,General Medicine,Abuja North
D0811,Dr. Amaka Eze,orthopedics,
D0812,Dr. Victor Chukwu,Orthopedics,PORT HARCOURT MAIN
D0813,Dr. Grace Uche,Obstetrics,Port Harcourt Main
D0814,Dr. John Onyeka,Neurology,Abuja North
D0815,Dr. Yusuf Ogunleye,dermatology,Ibadan West
D0816,Dr. Ngozi Afolabi,Pediatrics,
D0817,Dr. Victor Okafor,Neurology,Kano Care
D0818,Dr. Mary Afolabi,Pediatrics,
D0819,Dr. Amaka Nwosu,,Abuja North
D0820,Dr. Ada Bello,pediatrics,Kano Care
D0821,Dr. Tolu Onyeka,orthopedics,
D0822,Dr. Zainab Garba,Radiology,
D0823,Dr. Abdul Bello,Emergency Medicine,Lagos Central
D0824,Dr. Daniel Sani,Family Medicine,PORT HARCOURT MAIN
D0825,Dr. Abdul Bello,,Abuja North
D0826,Dr. Sarah Okafor,Dermatology,Kano Care
D0827,Dr. Yusuf Ibrahim,,LAGOS CENTRAL
D0828,Dr. Daniel Chukwu,Pediatrics,
D0829,Dr. Ngozi Ibrahim,pediatrics,Lagos Central
D0830,Dr. Tunde Ojo,Orthopedics,Abuja North
D0831,Dr. Daniel Usman,Pediatrics,ABUJA NORTH
D0832,Dr. Ngozi Chukwu,Cardiology,Port Harcourt Main
D0833,Dr. Peter Johnson,General Medicine,Kano Care
D0834,Dr. Bola Onyeka,Family Medicine,ABUJA NORTH
D0835,Dr. Musa Eze,Orthopedics,Enugu East
D0836,Dr. Ngozi Ogunleye,Cardiology,
D0837,Dr. Hannah Onyeka,Neurology,PORT HARCOURT MAIN
D0838,Dr. Samuel Garba,,Ibadan West
D0839,Dr. Kemi Garba,orthopedics,Port Harcourt Main
D0840,Dr. Victor Sani,Radiology,Ibadan West
D0841,Dr. Esther Ibrahim,General Medicine,Port Harcourt Main
D0842,Dr. Bola Nwosu,Obstetrics,
D0843,Dr. Musa Afolabi,Radiology,
D0844,Dr. Mercy Garba,pediatrics,Kano Care
D0845,Dr. Tolu Balogun,orthopedics,Ibadan West
D0846,Dr. Sarah Adeyemi,pediatrics,
D0847,Dr. Kemi Johnson,Pediatrics,PORT HARCOURT MAIN
D0848,Dr. Ada Adeyemi,orthopedics,LAGOS CENTRAL
D0849,Dr. Grace Johnson,general medicine,Ibadan West
D0850,Dr. Yusuf Abubakar,General Medicine,LAGOS CENTRAL
D0851,Dr. Esther Eze,Dermatology,LAGOS CENTRAL
D0852,Dr. Zainab Ogunleye,Cardiology,Abuja North
D0853,Dr. Samuel Johnson,pediatrics,Ibadan West
D0854,Dr. Samuel Ibrahim,dermatology,Ibadan West
D0855,Dr. Emeka Eze,,PORT HARCOURT MAIN
D0856,Dr. Zainab Eze,Radiology,Enugu East
D0857,Dr. Daniel Okafor,Emergency Medicine,Enugu East
D0858,Dr. Kemi Musa,Family Medicine,Ibadan West
D0859,Dr. Samuel Balogun,Pediatrics,Abuja North
D0860,Dr. Tunde Chukwu,Emergency Medicine,Kano Care
D0861,Dr. Sarah Ibrahim,Family Medicine,Port Harcourt Main
D0862,Dr. Michael Bello,Family Medicine,Port Harcourt Main
D0863,Dr. Ngozi Balogun,,Abuja North
D0864,Dr. Peter Onyeka,Dermatology,Abuja North
D0865,Dr. Hannah Usman,,
D0866,Dr. Victor Eze,pediatrics,Kano Care
D0867,Dr. Grace Uche,,ABUJA NORTH
D0868,Dr. Grace Nwosu,Radiology,Enugu East
D0869,Dr. Chinedu Sani,,Enugu East
D0870,Dr. Michael Uche,cardiology,Ibadan West
D0871,Dr. Ngozi Adewale,general medicine,Abuja North
D0872,Dr. Samuel Onyeka,Pediatrics,PORT HARCOURT MAIN
D0873,Dr. Fatima Nwosu,Neurology,
D0874,Dr. Peter Abubakar,orthopedics,PORT HARCOURT MAIN
D0875,Dr. Grace Nwosu,Radiology,Abuja North
D0876,Dr. John Garba,Emergency Medicine,LAGOS CENTRAL
D0877,Dr. Blessing Abubakar,pediatrics,Port Harcourt Main
D0878,Dr. Blessing Ogunleye,Pediatrics,Kano Care
D0879,Dr. Esther Usman,dermatology,
D0880,Dr. Emeka Musa,pediatrics,
D0881,Dr. Esther Usman,orthopedics,Kano Care
D0882,Dr. Victor Musa,Orthopedics,Abuja North
D0883,Dr. Musa Ojo,Cardiology,LAGOS CENTRAL
D0884,Dr. Ibrahim Adewale,Emergency Medicine,ABUJA NORTH
D0885,Dr. Aisha Onyeka,Dermatology,Abuja North
D0886,Dr. Peter Eze,Orthopedics,Ibadan West
D0887,Dr. Aisha Usman,Emergency Medicine,Lagos Central
D0888,Dr. Grace Ojo,dermatology,PORT HARCOURT MAIN
D0889,Dr. Fatima Johnson,Neurology,Lagos Central
D0890,Dr. Tolu Afolabi,Emergency Medicine,
D0891,Dr. Tolu Balogun,Cardiology,ABUJA NORTH
D0892,Dr. Victor Afolabi,orthopedics,PORT HARCOURT MAIN
D0893,Dr. Peter Nwosu,Cardiology,
D0894,Dr. Aisha Balogun,Emergency Medicine,Port Harcourt Main
D0895,Dr. Samuel Afolabi,,Ibadan West
D0896,Dr. Yusuf Ojo,dermatology,Abuja North
D0897,Dr. Bola Onyeka,Neurology,PORT HARCOURT MAIN
D0898,Dr. Bola Ibrahim,Emergency Medicine,ABUJA NORTH
D0899,Dr. Ibrahim Ojo,Radiology,ABUJA NORTH
D0900,Dr. Bola Sani,Obstetrics,Lagos Central
D0901,Dr. Ibrahim Ibrahim,,
D0902,Dr. Yusuf Sani,Radiology,LAGOS CENTRAL
D0903,Dr. Daniel Usman,Family Medicine,
D0904,Dr. Tunde Okafor,Radiology,
D0905,Dr. Samuel Adeyemi,General Medicine,Kano Care
D0906,Dr. Yusuf Abubakar,Obstetrics,Enugu East
D0907,Dr. Mercy Usman,Orthopedics,PORT HARCOURT MAIN
D0908,Dr. Kemi Adeyemi,pediatrics,LAGOS CENTRAL
D0909,Dr. Bola Adewale,dermatology,Ibadan West
D0910,Dr. Kemi Balogun,pediatrics,Lagos Central
D0911,Dr. Hannah Ojo,Pediatrics,Port Harcourt Main
D0912,Dr. Aisha Okafor,Family Medicine,Port Harcourt Main
D0913,Dr. Emeka Eze,pediatrics,Kano Care
D0914,Dr. Yusuf Balogun,,Lagos Central
D0915,Dr. Peter Johnson,cardiology,
D0916,Dr. Blessing Okafor,Obstetrics,Enugu East
D0917,Dr. Emeka Onyeka,Neurology,Kano Care
D0918,Dr. Esther Abubakar,orthopedics,
D0919,Dr. Ibrahim Okafor,dermatology,
D0920,Dr. Hannah Onyeka,general medicine,ABUJA NORTH
D0921,Dr. Peter Abubakar,Emergency Medicine,PORT HARCOURT MAIN
D0922,Dr. Mercy Onyeka,Orthopedics,Enugu East
D0923,Dr. Aisha Eze,general medicine,PORT HARCOURT MAIN
D0924,Dr. Yusuf Balogun,Cardiology,Abuja North
D0925,Dr. Abdul Ojo,Neurology,Port Harcourt Main
D0926,Dr. Ngozi Ojo,Neurology,
D0927,Dr. Samuel Uche,dermatology,Enugu East
D0928,Dr. Peter Eze,pediatrics,ABUJA NORTH
D0929,Dr. Samuel Uche,Cardiology,Port Harcourt Main
D0930,Dr. Mary Abubakar,general medicine,Kano Care
,Dr. Mary Chukwu,Emergency Medicine,Abuja North
D0932,Dr. Ibrahim Uche,Orthopedics,Kano Care
D0933,Dr. David Usman,general medicine,ABUJA NORTH
D0934,Dr. Peter Ibrahim,general medicine,Abuja North
D0935,Dr. Bola Ogunleye,,LAGOS CENTRAL
D0936,Dr. Bola Abubakar,Family Medicine,LAGOS CENTRAL
D0937,Dr. Aisha Balogun,dermatology,Port Harcourt Main
D0938,Dr. John Nwosu,cardiology,Port Harcourt Main
D0939,Dr. John Afolabi,Radiology,Kano Care
D0940,Dr. Peter Usman,,
D0941,Dr. Amaka Garba,orthopedics,Port Harcourt Main
D0942,Dr. Musa Eze,cardiology,
D0943,Dr. Peter Ogunleye,,Lagos Central
